author,content,publish_time,site_name,title,url
,"The Royal Welsh Show has been taking place this week, marking 120 years since the start of the annual agricultural show.
The best of Welsh livestock is showcased over four days in Llanelwedd, near Builth Wells in Powys, drawing up to 250,000 people from 40 countries.
The livestock competitions involve horses, cattle, sheep, pigs and goats, with almost 7,000 animals being exhibited.
In the stalls and exhibitions there have also been displays of country sports and traditional Welsh crafts - as well as outrageous hairstyles. 
",,bbc,Royal Welsh Show showcases nation's best livestock,
,"Dozens of livestock farmers turned up to a council meeting in tractors to protest against a ""plant based food dictatorship"".
Forest of Dean District Council met at its Coleford offices on Thursday night to discuss a move to encourage vegan food.
Vegan councillor Jacob Sanders said global greenhouse gas emissions from animal-based foods are twice those of plant-based foods.
Expressing his concerns, Lydney farmer Richard Morgan said nature ""is just going to collapse"" if there was a move towards plant-based farming.
About 35 farmers voiced their strong opposition to the motion, which encourages a plant-based diet in line with the climate emergency objectives adopted by the council in 2018.
The proposal called on council leaders to ensure clearly advertised plant-based options are available at council-catered events and meetings, the 
.
“To this end, the council will seek to inform, educate and persuade,” the motion read.
“And set up a task group to invite experts to promote replacement of animal products with sustainable plant-based food in the Forest.”
Richard Morgan, a farmer from Lydney, said before the meeting that a move towards plant-based farming would put his livelihood at risk.
“Everyone should have their own choice,” he said.
“You shouldn’t be dictated as to what you are allowed to eat and not. 
""It’s all about a balanced and healthy diet and a balance for the environment.
“We all know if you take out the animal side of it, nature is just going to collapse.”
Several Conservative and Independent councillors made calls for the original motion to be withdrawn.
Conservative councillor for Tidenham, Nick Evans, suggested the council encouraged a balanced and varied diet of food produced by local farmers and organisations.
He also proposed working with the farming community to examine opportunities to diversity their business in the interests of sustainability.
His amendment was accepted by Mr Sanders and his seconder, Patrick Kyne, who made it clear he supported the motion but is not vegan.
Trevor Roach, Green councillor for Mitcheldean, Ruardean and Drybrook, said he would support the motion after it was refined, but emphasised that working with the farming community is what it’s all about. 
“You’ve certainly kept things focused for us all,” he told farmers at the meeting. “When it comes to food it’s you lot we depend on so we need to work together.
“I fully appreciate the economic challenges the farmers have had to endure with the current trend in global trading policies that clobber farmers wherever they can. We’ve got to look at local produce for local people.”
The council voted to approve the motion by 26 votes in favour to four against with two abstentions.
",,bbc,Vegan 'dictatorship' move sparks council tractor protest,
,"Wet weather has wreaked havoc on food production, it has been claimed.
One of the UK's main suppliers of brassicas said its spring planting schedule was thrown into disarray, resulting in fields of rotting cabbages, broccoli and cauliflowers because crops had failed to mature in line with demand.
Meanwhile, a pick-your-own strawberry farmer from Lincolnshire said he had suffered his ""worst season in 42 years"".
Jack Ward, the chief executive of the British Growers' Association, said: ""Everybody you speak to tells you they are having an issue with the weather. Some are struggling to even get crops to germinate.""
Mr Ward added: ""There is a very fine line between success and failure in growing food. You need the right conditions, at the right time.
""Last autumn and winter, we had huge record amounts of rain. That sheer volume of water striking the ground was not good for soil structure. That has continued.
""In some instances, lack of sunshine has also had an impact on crops.""
John Moulding, commercial director at Lincolnshire-based TH Clements, a leading supplier of brassicas, said the delay in planting had led to an ""oversupply"", because crops had not matured in time to meet demand.
He said: ""We aim to plant in either the last week of February or the first week in March. However, we had to delay [planting] by two to three weeks. When we did come to plant, we weren't able to get them in the ground at the times we had set out.
""As a result, our crops matured at different times. We now have an oversupply, with fields of rotting vegetables.""
Mr Moulding said it was ""demoralising"". 
""We have people who have worked for the business for 25 years and they tell me this has been the most difficult period they can remember,"" he added.
While the firm expected to take the financial hit this year, and it was unlikely that shoppers would notice an immediate difference in prices, more wet springs would mean consumers having to pay more ""in order for businesses to be sustainable"", Mr Moulding said. 
Syston Park farm, in Grantham, Lincolnshire, plants a range of crops, including pick-your-own berries, rhubarb, asparagus, Christmas trees and pumpkins.
Owner Paul Clegg said: ""It's been the most difficult season in 42 years of growing fruit due to the combination of a late frost and cool, rainy weather.""
He added: ""At least the Christmas trees have enjoyed the rain.""
It is not surprising our weather is causing real issues for farmers up and down the country.
Our weather has always been changeable, but the recent extremes have been unprecedented.
The 18 months to March this year were the wettest 18 months ever recorded across the UK.
And the figures from Sheffield Weston park, which has one of the country’s longest data sets stretching back to 1882, highlights just how extreme it is has been.
June last year was the second warmest on record, with July the second wettest. September was then the warmest on record, followed by the wettest October and the fifth wettest December.
After a mild and wet winter, the UK then experienced its warmest spring on record, only for the first half of this summer to be the coldest this century.
And let us not forget almost exactly two years ago the country experienced extraordinary heat, with Coningsby in Lincolnshire setting a new UK record, as the country smashed through the 40C barrier for the first time.
Climate projections offer little in the way of comfort. A warmer atmosphere will hold more water vapour, and so when it rains it is likely to be heavier.
And research suggests that another implication of a warmer world will be an increasingly sluggish jet stream – suggesting longer periods of the same type of weather – leading to more droughts and floods.
, 
,
 
",,bbc,'Fields of rotting veg' after rain wreaks havoc,
,"The environment - and caring for it - continues to be a hot topic of conversation among campaigners and politicians.
Here, three people concerned about sustainable farming, the quality of our water and renewable energy tell the BBC what they want from the new Labour government.
Jon Watt farms almost 250 acres (100 hectares) near Laxfield in Suffolk. 
He has 18 head of cattle and grows wheat and barley - he also does contract work for other nearby farms which accounts for about 50% of his turnover.
He receives payments from the Sustainable Farming Incentive (SFI) which is part of the Environmental Land Management Scheme (ELMS), introduced by the previous government post-Brexit to replace EU subsidies that were linked to production and the size of the farm.
ELMS and the SFI, however, reward farmers for introducing wildlife-friendly measures such as wild flower margins for pollinators, using no insecticides and hedge planting.
SFI brings in about £13,000 of income annually for Mr Watt.
He says it is vital the scheme continues under the new government as his rotation of crops is structured around it and it forms an important part of his income.
He wants the new government to stick with the policy and fund it.
""From leaving the European Union it took about eight years to get to where we are today,"" says Mr Watt.
""We've just about got our heads around the scheme - we understand it - and it would be a really devastating thing to change it drastically now, which is where the agriculture budget itself is so important because it pays for this system.
""If we want to achieve the environmental goals they've set out, they need an agriculture budget of about £5bn to deliver that.""
A government spokesperson told the BBC that Labour was ""aiming to boost rural economic growth and Britain’s food security by introducing a new deal for farmers"".
This would include cutting through red tape in the Environment Land Management Schemes and protecting farmers from being undercut by low welfare and low standards in trade deals.
Catherine Arnold, a member of Essex-based wild swimming group Manningtree Mermaids, has long been a campaigner pressing for a clean-up of our seas and rivers.
Earlier this year, Manningtree beach in Essex, the River Cam at Sheep's Green in Cambridge and the River Stour at Sudbury in Suffolk were among 27 new sites in England to achieve 
.
It means Anglian Water could now install disinfection equipment at local sewage works to stop harmful bacteria like E-coli from being discharged into the water.
But Ms Arnold maintains more needs to be done.
She is calling on Labour to ""increase the fines to water companies - polluters - and also to withhold bonuses from executives of water companies"".
But, she also says criminal procedures should be introduced ""because the fines that they impose on the water companies are like a drop in the ocean to them"".
""The whole system has to change - what I'd really love the government to be doing is looking at a long-term solution,"" Ms Arnold says.
""The current system allows for sewage to be released into the water and then the water dilutes it - and that's the process - part of the sewage purification process - by dumping it in the water.
""We need a more holistic approach to our waterways' health - not just looking at sewage pollution but also agricultural pollution and micro-plastics. 
""I would love for the legislation to change and hold the water companies more to account.
""I'm hoping that the Labour government is going to be listening to the [people] who voted them in, and realise that the environment is massively important - our waterways are the lifeblood - it's much bigger than us just going for a swim.""
A government spokesperson told the BBC that ""the Secretary of State for Environment, Food and Rural Affairs, Steve Reed, met with representatives of 16 water companies across England and Wales last week"". 
They said companies have now signed up to the government’s initial package of reforms which includes consumers ""gaining new powers to hold water company bosses to account through powerful new customer panels"". 
""For the first time in history, customers will have the power to summon board members and hold water executives to account.""
Alicat Workboats, in Great Yarmouth, Norfolk, makes boats to ferry engineers around offshore wind farms. 
Its general manager, Simon Coote, says the new government needs to provide the sector with long-term stability - and says an improved apprenticeship scheme is also needed to tackle a skills shortage in the boat building industry.
Mr Coote says the renewables sector has transformed the business over the past 10 years or so, and maintaining boats makes up about 60% of its turnover.
Asked what he wants from the new government, he says: ""I think what we need is a long-term vision for the renewables sector to allow our customers to carry on the investment in the new infrastructure.
""Skill shortages is the other problem we have - we have a certain amount of apprentices but we end up turning work away because we haven't got enough staff.
""We have 20% apprentices and I'd like to increase that - it's just the financial restraints we have - but it's crucial for the future of the company.""
A government spokesperson told the BBC that Labour aimed to ""double onshore wind, treble solar and quadruple offshore wind by 2030 – taking action now to bring down energy bills for good and accelerate our journey to net zero"".
Regarding apprenticeships, the spokesperson said: ""We are committed to ensuring our post-16 qualifications include a range of choices that give young people the best life chances.""
",,bbc,Environment hopes for Labour to address,
,"One of the country's largest agricultural shows has opened its gates to thousands of visitors for the first of its three days.
The New Forest and Hampshire County Show started on Tuesday, and is expected to attract more than 90,000 visitors.
The event, which has been running for more than 100 years, takes place at the New Park showground, near Brockenhurst
It features equestrian classes, livestock competitions and horticultural displays as well as dozens of trade stands.
",,bbc,In pictures: New Forest's country show under way,
,"Synthetic meat created in a laboratory “need not spell disaster to farms”, according to a new report.
Researchers from the Royal Agricultural University (RAU) spoke to over 80 farmers for a major new study.
The US State of Florida and Italy have already banned development of lab-made meat products, claiming the industry threatens traditional farming.
But British farmers told researchers from the RAU they did not see ""alternative meat"" products as a major threat.
Professor Tom MacMillan, who led the research team for the Cirencester-based RAU said: “Sure, there was a deal of concern about how it might play out, the unintended consequences for farming.
""But there was a lot of curiosity to something often seen as the enemy.
“Farmers were really engaged in the practical possibilities, supplying ingredients to the technology, maybe even hosting production units on their farms.”
Scientists have long been trying to create alternatives to popular meat products without farming live animals. 
The main reason is climate change. 
All livestock farming creates large amounts of carbon dioxide and methane, which increase climate change.
Prof MacMillan said: “The environmental cost of meat production globally means we need to throttle back, and widening the range of safe, tasty, and affordable alternatives to traditional meat can help.”
For many years the food industry had created lookalike burgers and sausages and other products using textured protein from soya, peas and other plants.
Now scientists are creating entirely synthetic proteins in the lab. 
A lab-cultured chicken product is on sale in Singapore, and tests are running on beef and lamb equivalents.
But some US states have already banned the practice, and the Italian government has outlawed synthetic meat development altogether.
""Italy is the world's first country safe from the social and economic risks of synthetic food,"" said Agriculture Minister Francesco Lollobrigida.
At face value, yes. 
If scientists and the food industry can supply all the meat-like protein we need in a factory, who needs traditional farmers? Not just livestock farmers either. 
One of the farmers who took part in the study, Dom Morris, lives on his family’s mixed farm in the Cotswolds.
“Lots of the grain grown on this farm goes into the food chain to feed animals,” he explained.
“We’d like to use some of our arable land for new animal farming, so this would have profound consequences on mixed family farms like this.”
But Prof MacMillan discovered that the threat to farming is a long way off, if it’s there at all.
“People will be eating meat, animals will be on farms like this for the rest of my life, and decades after that,” he explained.
“It’s a slow-burn risk”.
There are two types of alternatives to meat at the moment, and they both need raw materials that farmers can grow. 
The now familiar ""plant-based proteins"" found in alternative burgers, sausages, bacon and chicken products all start out as soya, peas, or other plant proteins. 
Plenty of UK farmers are supplying that industry already. 
Lab-cultured meat needs ingredients like rape meal, which is left over from oil seed rape after it has been pressed for its oil. 
Farmers like Dom Morris are investigating selling that to the cultured meat industry, turning a waste-product into a source of income.
Most surprising of all, the report found farmers considering inviting the meat-fakers onto their farms to do business. 
At the moment, the industry is small. Lab tests have been successful, but mass production has not begun in Europe yet.
Dom Morris thinks there was no reason why synthetic meat labs could not set up right inside his Cotswold barns.
He said: “We’re thinking about producing it here, on our farm, in our old Victorian farm buildings. 
""There’s the Cotswold premium at the moment, and everyone wants to know where their food comes from. 
""So why not?”
",,bbc,"Lab-raised meat 'not the enemy', say farmers",
,"How Farm in Sanday has been home to seven generations of the Sinclair family.
Over that time, life on the Orkney island has changed radically and Malcolm and Jackie Sinclair have decided it’s time their farming business at How and Backaskaill farms changes hands.
, with a combined asking price of £4.2m.
“There used to be lots of little family farms, with 20 or 30 cows and some sheep. They all vanished a long time ago.” says 64-year-old Malcolm.
“When I left school at 16, we had five shops on Sanday, there were two garages to fix the machinery and tradesmen and builders based here on the island. 
""Now, we still have two good shops but we are much more dependent on goods and services coming from the Orkney mainland, and beyond.”
Changes in farming practice across rural Scotland have seen small farms amalgamated into larger farming units which are more economically viable.
Most farm jobs have been mechanised.
In the past, neighbours would often share the harvest workload together. 
Now one worker can complete more in a day than the combined effort of a whole community in the past.
In Sanday, Malcolm and his wife Jackie, 59, have been at the heart of the community, farming 400 cattle and 600 sheep and running a haulage business and a community shop.
It has been hard work, often involving 14-hour days. Their son Fraser, now 21, was the last baby born on the island. Neither of their boys now live there. 
The Sinclairs have already sold the shop and haulage businesses, and now they are leaving farming and diversifying into tourism.
“You can’t go on forever,” Malcolm said. “Our boys don’t want the farms. We’ve cut back what we are doing and now there’s a grand chance for somebody to come in and take this on.
""You can buy a lot more acres here than you can in the south, and once they are here there are plenty of opportunities.”
How Farm is on the market at £2.2m. Next door, Backaskaill Farm is offered for £2m. Between them they cover more than 1,200 acres of the island, which is famed for its dramatic sweeping beaches and crystal blue seas.
In recent years the decline in the island’s population has been halted, with many older people moving there attracted by the natural environment and relatively cheaper property prices than most places in the UK.
The latest census figures show Sanday’s population fell by 7% between 1981 and 2022. 
That slowed to just 1% over the last census period. It has now stabilised, with 491 people calling the island home in 2022.
While the numbers look positive, the age profile of the community mirrors the trend in many other island communities.
There are too few young people and residents are getting older.
In Sanday, 42% of the population are over 60 years old. Only 14% are aged between 18 and 39.
It’s a trend Prof Michael Anderson, emeritus professor of economic history at the University of Edinburgh, has found is mirrored elsewhere.
“The population of Orkney’s mainland island has been going up since 1981,"" he said.
""We all know many young islanders move away in their teens and early 20s.
""The thing that’s surprised me in the latest census results is that they start to move back around the age of 30. But they tend to move to the islands within easy commuting distance of jobs and services.
""That’s true in Orkney’s islands, and in Mull and Skye.”
Prof Anderson has found the more outlying islands such as Sanday, which is an 85-minute ferry trip from Kirkwall, Orkney’s capital, have to work harder to attract and retain a working-age population.
Sanday, with its own Junior High School educating pupils on the island up to the age of 16, is doing better than some other islands across Scotland. 
At a recent “Islands Future” event held by the Royal Society of Edinburgh in Kirkwall, Prof Anderson warned that for some of Scotland’s more remote islands, the census results indicate their population decline may already be irreversible.
Malcolm’s wife Jackie moved to Sanday from Edinburgh to take up a temporary role at the Junior High School in the 1990s.
Thirty years later, she still sees a future in the island catering for the growing tourism sector.
“We started our self-catering business out of Covid, and it's still growing,"" she said.
""We’ve recently bought two more properties and we’re developing another as high-end retreats.
""Our long-term plan is to split our time between here in Sanday and down south, closer to where our boys live.
""We’ve no plans to move away from Sanday permanently. This will always be home.”
",,bbc,Sale of £4.2m farms marks end of an era on Orkney island,
,"A farmer from Shropshire has said the industry must adapt to changing weather patterns, following significant rainfall this year which has led to crop failure for some.
Despite sunshine making an appearance in recent days, overall the last few months have been particularly wet.
Adrian Joynt, farm manager at the Apley Estate near Bridgnorth, said prolonged spells of mild and wet weather could cause severe financial hardship for some farmers.
“The weather, for the last 12 months really, has been quite challenging,” he said.
“We are used to dealing with it, but I think this year has been exceptionally bad.”
He added: “We’ve had fields that have been waterlogged that we’ve had to replant -  so obviously that’s more work and more cost.”
Mr Joynt estimated a farmer might lose about £100 per acre for each half a tonne of wheat that could be produced on that land.
“Thankfully we’re on a large enough scale here that we can take a bit of a hit, but if we were on a smaller scale it’s very concerning.”
He said milder winters had also led to more pests surviving which might not otherwise make it through the colder months.
On top of this, less sunshine meant crops have struggled to grow as they ought to.
“I don’t want to be a doom monger because I think there’s positives to everything, but it could be the difference between profit and loss for some farms,” he said.
“With the weather we’ve had there will be a knock-on effect on yields this year.”
He said farmers in the west of Britain were more used to wetter weather conditions than those to the east, but even so it was something they would have to learn to become better at managing.
This might include things like building more shelter for animals or improving drainage systems in fields, all of which come with cost implications.
“You grow it to produce a good quality crop, and sometimes the weather doesn’t help you,” Mr Joynt said.
",,bbc,"Industry must adapt to climate change, says farmer",
,"A new business park for food firms has been given the green light. 
Stirlin Developments received approval from South Holland District Council for the scheme, which includes 12 units, at the 
, in Holbeach.
James Kirby, the owner of Stirlin, said he was ""delighted"" and hoped that the scheme would ""encourage businesses to develop strong working relationships, share ideas and improve productivity"".
According to the 
, the £16m enterprise zone is described as “the heart of the UK food valley"". The first phase opened in 2022.
The new units, on land spanning more than 22,000 sq ft (2,044 sq m), will offer a mix of two-storey hybrid office and warehouse space, catering for start-ups and established brands within the agri-food and food manufacturing sectors.
Mick King, the head of economic infrastructure at Lincolnshire County Council, said the local authority's investment had enabled ""the creation of a successful business park"".
The council was ""delighted to work with the private sector"" to ensure the enterprise zone was a success, he added.
, 
,
 
",,bbc,New business park at 'heart of UK food valley',
,"A university has bought farmland worth around £16m for research into agriculture and food.
The University of Reading has purchased the 635-acre site at Tanners Farm, Farley, using money from its long-term capital investment funds.
The area includes pasture, arable land and woodland and is an addition to the farmland and facilities the university already has in Arborfield, Shinfield and Sonning.
The university's vice-chancellor said the purchase would help ""secure the future of agriculture at Reading for the next century to come"".
The farm has been purchased to support the university's new Agrifood Futures Strategy through which it hopes to ""transform the future of food and farming"".
According to the university, an updated Local Plan for Wokingham may allocate parts of Hall Farm, where it currently has farming facilities, for a new garden village.
This new farmland will therefore ensure there is ample space ""to continue the university’s world-class research"", it said.
Prof Robert Van de Noort, vice-chancellor, added: “The study of food and farming has been at the heart of the university’s work for more than a century. 
""This new strategy will secure the future of agriculture at Reading for the next century to come.
“Our mission is to develop new methods and partnerships that will transform the way healthy, sustainable food is produced in Britain.""
He continued: ""It will provide our students with hands-on experience as they train to become our future food growers and the stewards of the countryside.”
The university's Agrifood Futures Strategy prioritises three research areas, focusing on transformation to a resilient and fair food system; environmentally-friendly farming systems; and developing healthy and sustainable foods.
Tanners Farm already has schemes to encourage wildlife and protect the countryside and the university said it will initially lease the land to its existing users.
Prof Simon Mortimer, head of the university's School of Agriculture, Policy and Development, said: “The university’s purchase of Tanners Farm will give us the opportunity to research and demonstrate solutions to some of the most pressing problems facing Britain and the world.
""How to keep feeding a growing population from finite resources, despite a changing climate, while reducing the impact of farming on the environment.”
",,bbc,University buys £16m farmland for food research,
,"Organisers of the Royal Highland Show say they will be delivering a full event this year despite a multi-million pound gap in their finances.
The Royal Highland Agricultural Society of Scotland said it was heading towards a more sustainable financial footing after recording a loss last year of more than £3m.
The 202-year-old event kicked off earlier at Ingliston in Edinburgh.
Last year more than 200,000 people attended the four-day event, but spiralling costs and the fallout from the pandemic proved financially challenging.
However, in its annual report, the charity said it had made significant changes to its income and cost model, meaning it would still deliver a full Highland Show.
More than 4,000 animals will take part in hundreds of competitions while produce from across Scotland will be available for sampling in the show's food hall.
David Tennant, Head of Royal Highland Show, said there were 800 exhibitors spread across the 110 acre site for the sell-out event.
He said: “Our traditional show elements very much remain at the heart of the weekend, with the best of British livestock and equine competing. 
""But we also have many unexpected and family-friendly activities and entertainment for everyone to enjoy. 
""From music to BMX stunts, cookery displays, the farrier competition, sheep sheering and birds of prey and sheepdog demonstrations."" 
",,bbc,Highland Show kicks off with full programme despite £3m losses,
,"A vineyard has said it ""really needs some good weather"" in the next month or two in order to produce nice aromatic still wines.
With the first seeds planted in 1973, the Three Choirs Vineyard in Newent, Gloucestershire, is one of England's oldest vineyards, but said it has become increasingly affected by climate change.
Wine-making director, Martin Fowke, said that the type of wine they can afford to produce depends entirely on the coming weather conditions. 
""Of course we'd like some sunshine and a little bit of warmer weather, but we're very thankful that we haven't had frost,"" he said.
When a region's climate changes it can disrupt the delicate balance between sugar, acid and secondary compounds in the grapes.
This changes the rate at which they develop and can lead to differences between sweet and acidic flavours.
""We always try and make the right wines in the right year,"" said Mr Fowke. 
""Last year was a very good year for making sparkling wines because September wasn't particularly kind to us and the grapes didn't ripen that well, which is suited to sparkling.
""I'm not going to predict the weather, but this year, maybe we're in a later season and it'll get nice and warm in August and September and we'll produce some very nice aromatic still wines.""
Mr Fowke said the ""key time"" will come within the next month or so, when the grape vines start to flower.
""That's when we really need the good weather,"" he added.
Towards the end of June is when the flowering process usually takes place in English vineyards, with better pollination resulting in more fruitful bunches of grapes.
""It's very much a later season [this year], but everything's looking OK for now,"" Mr Fowke continued. 
""There's so much moisture around and the growth is so rapid that we're spending a lot of time controlling that in the vineyard."" 
Despite the turbulent weather conditions, Mr Fowke said the winery has seen a ""big growth"" and hopes to have produced 40 million bottles of wine by the time it ""hits the half-century"".
""The industry as a whole needs to promote itself,"" he said.
""It's really important that we get the word out and let people know that English wine exists.""
",,bbc,Delayed summer means 'later season' for vineyards,
,"The first of the Isle of Man's major annual agricultural events is set to take place this weekend. 
Held at Orrisdale Farm in Ballasalla, the Southern District Agricultural Show showcases the Manx farming industry to thousands of visitors.
As well as livestock competitions, the 2024 show will host a vintage tractor parade, dog agility classes, an archery display, and free Zumba sessions.
Show secretary Zoe Hampton said the event was an important opportunity for the agricultural community to get together and the public to learn about farming on the island.
The showground opens to the public between 09:30 and 18:00 BST on both days, with the Grand Parade, which sees the Supreme Champion animal crowned, scheduled to stat at 16:00 on Saturday.
Last year the event attracted about12,000 visitors over the two-day period. 
During the show the public can visit local food stands, view arts and crafts on display and witness stock judging.
Ms Hampton said in the past the event, which was first held in 1914, was one of only a a few opportunities for the agricultural community to get together, but now created a good chance for farmers to ""get out"" and ""talk to people"".
Ms Hampton said while the scrapping of the Isle of Man government's annual 
 in September was ""sad"", she hoped those with an interest in local produce would visit the agricultural show to see what's on offer.
Reflecting on the wet weather experienced on the island over the past 12 months, she said it had been a ""difficult year"" for farmers, particularly those growing crops.
The conditions also made a ""big difference"" to turnout at the two-day agricultural show she said, adding: ""Hopefully the sun is going to shine.""
",,bbc,Annual show set to highlight farming industry,
,"The Welsh farm ten years from now probably has electric tractors ploughing drone monitored fields with a holiday let and solar array helping pay the bills, a young farmer has said. 
Dominic Hampson-Smith, 25, from Usk in Monmouthshire, said the next generation will bring a ""breath of fresh air"" to a sector where the average farmer's age is over 60. 
But the high cost of land means nearly insurmountable ""barriers"" for people trying to get into farming for the first time. 
One agricultural entrepreneur at this year's Royal Welsh Show said a tourism side-business is the only way she can continue a livestock farm in her family for generations. 
""If you could have an electric tractor that does the work of a diesel of course you would change,"" said Mr Hampson-Smith from the Wales Federation of Young Farmers Clubs (WFYFC).
""We are also seeing the use of automation and GPS for planting and cultivation,"" he added. 
""Machinery is making our lives much more efficient... if you can cover the ground in half the time, you're going to be producing half the emissions.""
The future farmer will also depend on science and data to survive changing weather and ever tougher margins, he said. 
""Things like automated feeders and daily livestock weighing to get the efficiency right.""
Despite all the ""exciting ideas"" young farmers can bring, Mr Hampson-Smith said ""getting your foot in the door for people who don't come from an agricultural background like me is extremely difficult"". 
He grew up in a non-farming family in Cwmbran, Blaenau Gwent and has had to farm on rented ground. 
Angharad Thomas, 27, who grew up on her family's sheep and cattle farm near Carmarthen, said farms in her area are selling for more than a million pounds. 
""So many young farmers that want to farm but with the prices tags it is a big barrier.""
She said one hill farm bought recently will now become a tree plantation. 
""It's disheartening seeing that it could easily host a family and keep young people in rural Wales. 
""Opportunity for people to start farming is becoming a bigger barrier all the time,"" she added. ""It's a bit daunting.""
She and the WFYFC say their main opposition to the 
 is that it says little about how to get new people in the industry. 
""It could be that good people with new ideas are turned away because there isn't enough support,"" she said. 
For those already in the business, Ms Thomas said finding new ways to make money is crucial.
She has started to raise pigs on her family's farm. 
""I just thought it's something I can own myself,"" she said, explaining how she has used social media and word of mouth to develop a meat box business. 
""I have my own little income stream and the pleasure when you have returning customers coming back for the meat, knowing they are having high standard meat."" 
Anna Jones, 35, from Welshpool in Powys, recently took over her family farm with about 500 sheep and 40 cow.
""It's what my dad did. It's what my grandad did,"" she said. 
""I think it would be a very sad day if we got to the point where we weren't a working farm here.""
""But I can't just do the livestock. It's not financially viable so I have to think of diversification ideas.""
She joined the Agri academy, a Welsh government programme meeting at the Royal Welsh for the first time with a goal of inspiring the next generation of rural entrepreneurs.
For Ms Jones it has meant opening a new holiday let that she hopes will keep her family farm going for another generation.
",,bbc,Farming future is high-tech and diverse ,
